Weekday,Time,Releases,Source
3-Tuesday,16,31,Drupal
3-Tuesday,17,30,Drupal
3-Tuesday,14,31,Drupal
3-Tuesday,15,21,Drupal
3-Tuesday,12,15,Drupal
3-Tuesday,13,25,Drupal
3-Tuesday,10,16,Drupal
3-Tuesday,11,18,Drupal
3-Tuesday,18,22,Drupal
3-Tuesday,19,22,Drupal
1-Sunday,10,23,Drupal
1-Sunday,11,13,Drupal
1-Sunday,12,18,Drupal
1-Sunday,13,21,Drupal
1-Sunday,14,25,Drupal
1-Sunday,15,30,Drupal
1-Sunday,16,39,Drupal
1-Sunday,17,29,Drupal
1-Sunday,18,23,Drupal
1-Sunday,19,26,Drupal
5-Thursday,7,15,Drupal
5-Thursday,6,6,Drupal
5-Thursday,5,14,Drupal
5-Thursday,4,6,Drupal
5-Thursday,3,24,Drupal
5-Thursday,2,14,Drupal
5-Thursday,1,15,Drupal
5-Thursday,0,11,Drupal
5-Thursday,9,20,Drupal
5-Thursday,8,16,Drupal
6-Friday,23,16,Drupal
2-Monday,20,27,Drupal
2-Monday,21,27,Drupal
2-Monday,22,15,Drupal
2-Monday,23,12,Drupal
1-Sunday,21,49,Drupal
1-Sunday,20,24,Drupal
1-Sunday,23,40,Drupal
1-Sunday,22,25,Drupal
5-Thursday,14,28,Drupal
5-Thursday,15,22,Drupal
5-Thursday,16,34,Drupal
5-Thursday,17,24,Drupal
5-Thursday,10,30,Drupal
5-Thursday,11,16,Drupal
5-Thursday,12,14,Drupal
5-Thursday,13,24,Drupal
5-Thursday,18,21,Drupal
5-Thursday,19,27,Drupal
4-Wednesday,19,28,Drupal
4-Wednesday,18,29,Drupal
4-Wednesday,13,33,Drupal
4-Wednesday,12,21,Drupal
4-Wednesday,11,19,Drupal
4-Wednesday,10,18,Drupal
4-Wednesday,17,38,Drupal
4-Wednesday,16,39,Drupal
4-Wednesday,15,32,Drupal
4-Wednesday,14,37,Drupal
2-Monday,15,25,Drupal
2-Monday,14,25,Drupal
2-Monday,17,32,Drupal
2-Monday,16,32,Drupal
2-Monday,11,19,Drupal
2-Monday,10,21,Drupal
2-Monday,13,26,Drupal
2-Monday,12,22,Drupal
2-Monday,19,28,Drupal
2-Monday,18,28,Drupal
3-Tuesday,9,10,Drupal
6-Friday,20,16,Drupal
6-Friday,21,16,Drupal
6-Friday,22,10,Drupal
3-Tuesday,8,16,Drupal
5-Thursday,21,15,Drupal
5-Thursday,20,26,Drupal
5-Thursday,23,11,Drupal
5-Thursday,22,16,Drupal
4-Wednesday,8,29,Drupal
4-Wednesday,9,23,Drupal
4-Wednesday,0,20,Drupal
4-Wednesday,1,18,Drupal
4-Wednesday,2,9,Drupal
4-Wednesday,3,10,Drupal
4-Wednesday,4,9,Drupal
4-Wednesday,5,13,Drupal
4-Wednesday,6,17,Drupal
4-Wednesday,7,18,Drupal
2-Monday,8,19,Drupal
2-Monday,9,15,Drupal
2-Monday,2,14,Drupal
2-Monday,3,10,Drupal
2-Monday,0,21,Drupal
2-Monday,1,11,Drupal
2-Monday,6,14,Drupal
2-Monday,7,19,Drupal
2-Monday,4,8,Drupal
2-Monday,5,5,Drupal
6-Friday,19,14,Drupal
6-Friday,18,13,Drupal
6-Friday,11,15,Drupal
6-Friday,10,16,Drupal
6-Friday,13,11,Drupal
6-Friday,12,22,Drupal
6-Friday,15,12,Drupal
6-Friday,14,12,Drupal
6-Friday,17,26,Drupal
6-Friday,16,19,Drupal
7-Saturday,23,13,Drupal
7-Saturday,22,17,Drupal
7-Saturday,21,24,Drupal
7-Saturday,20,21,Drupal
3-Tuesday,3,5,Drupal
6-Friday,8,8,Drupal
6-Friday,9,9,Drupal
6-Friday,6,9,Drupal
6-Friday,7,10,Drupal
6-Friday,4,12,Drupal
6-Friday,5,6,Drupal
6-Friday,2,16,Drupal
6-Friday,3,7,Drupal
3-Tuesday,2,7,Drupal
6-Friday,1,14,Drupal
3-Tuesday,23,16,Drupal
3-Tuesday,22,23,Drupal
3-Tuesday,21,23,Drupal
3-Tuesday,20,16,Drupal
6-Friday,0,6,Drupal
7-Saturday,5,8,Drupal
7-Saturday,4,5,Drupal
7-Saturday,7,4,Drupal
7-Saturday,6,5,Drupal
7-Saturday,1,4,Drupal
7-Saturday,0,9,Drupal
7-Saturday,3,7,Drupal
7-Saturday,2,7,Drupal
7-Saturday,9,9,Drupal
7-Saturday,8,5,Drupal
4-Wednesday,22,24,Drupal
4-Wednesday,23,24,Drupal
4-Wednesday,20,27,Drupal
4-Wednesday,21,25,Drupal
3-Tuesday,1,8,Drupal
3-Tuesday,0,17,Drupal
7-Saturday,18,16,Drupal
7-Saturday,19,22,Drupal
3-Tuesday,5,5,Drupal
3-Tuesday,4,7,Drupal
3-Tuesday,7,13,Drupal
3-Tuesday,6,8,Drupal
7-Saturday,12,24,Drupal
7-Saturday,13,18,Drupal
7-Saturday,10,7,Drupal
7-Saturday,11,10,Drupal
7-Saturday,16,21,Drupal
7-Saturday,17,17,Drupal
7-Saturday,14,13,Drupal
7-Saturday,15,19,Drupal
1-Sunday,3,6,Drupal
1-Sunday,2,16,Drupal
1-Sunday,1,5,Drupal
1-Sunday,0,13,Drupal
1-Sunday,7,18,Drupal
1-Sunday,6,13,Drupal
1-Sunday,5,10,Drupal
1-Sunday,4,1,Drupal
1-Sunday,9,13,Drupal
1-Sunday,8,13,Drupal
